ID,X,Y
1,108782.368700001,483776.995700001
2,108782.871740001,483776.965438001
3,108783.374780001,483776.935176001
4,108783.877820001,483776.904914001
5,108784.380860001,483776.874652001
6,108784.883900001,483776.844390001
7,108785.386940001,483776.814128001
8,108785.889980001,483776.783866001
9,108786.393020001,483776.753604001
10,108786.896060001,483776.723342001
11,108787.399100001,483776.693080001
12,108787.902140001,483776.662818001
13,108788.405180001,483776.632556001
14,108788.908220001,483776.602294001
15,108789.411260001,483776.572032001
16,108789.914300001,483776.541770001
17,108790.417340001,483776.511508001
18,108790.920380001,483776.481246001
19,108791.423420001,483776.450984001
20,108791.926460001,483776.420722001
21,108792.429500001,483776.390460001
22,108792.932540001,483776.360198001
23,108793.435580001,483776.329936001
24,108793.938620001,483776.299674001
25,108794.441660001,483776.269412001
26,108794.944700001,483776.239150001
27,108795.447740001,483776.208888001
28,108795.950780001,483776.178626001
29,108796.453820001,483776.148364001
30,108796.956860001,483776.118102001
31,108797.459900001,483776.087840001
32,108797.962940001,483776.057578001
33,108798.465980001,483776.027316001
34,108798.969020001,483775.997054001
35,108799.472060001,483775.966792001
36,108799.975100001,483775.936530001
37,108800.478140001,483775.906268001
38,108800.981180001,483775.876006001
39,108801.484220001,483775.845744001
40,108801.987260001,483775.815482001
41,108802.490300001,483775.785220001
42,108802.993340001,483775.754958001
43,108803.496380001,483775.724696001
44,108803.999420001,483775.694434001
45,108804.502460001,483775.664172001
46,108805.005500001,483775.633910001
47,108805.508540001,483775.603648001
48,108806.011580001,483775.573386001
49,108806.514620001,483775.543124001
50,108807.017660001,483775.512862001
51,108807.520700001,483775.482600001
52,108808.023740001,483775.452338001
53,108808.526780001,483775.422076001
54,108809.029820001,483775.391814001
55,108809.532860001,483775.361552001
56,108810.035900001,483775.331290001
57,108810.538940001,483775.301028001
58,108811.041980001,483775.270766001
59,108811.545020001,483775.240504001
60,108812.048060001,483775.210242001
61,108812.551100001,483775.179980001
62,108813.054140001,483775.149718001
63,108813.557180001,483775.119456001
64,108814.060220001,483775.089194001
65,108814.563260001,483775.058932001
66,108815.066300001,483775.028670001
67,108815.569340001,483774.998408001
68,108816.072380001,483774.968146001
69,108816.575420001,483774.937884001
70,108817.078460001,483774.907622001
71,108817.581500001,483774.877360001
72,108818.084540001,483774.847098001
73,108818.587580001,483774.816836001
74,108819.090620001,483774.786574001
75,108819.593660001,483774.756312001
76,108820.096700001,483774.726050001
77,108820.599740001,483774.695788001
78,108821.102780001,483774.665526001
79,108821.605820001,483774.635264001
80,108822.108860001,483774.605002001
81,108822.611900001,483774.574740001
82,108823.114940001,483774.544478001
83,108823.617980001,483774.514216001
84,108824.121020001,483774.483954001
85,108824.624060001,483774.453692001
86,108825.127100001,483774.423430001
87,108825.630140001,483774.393168001
88,108826.133180001,483774.362906001
89,108826.636220001,483774.332644001
90,108827.139260001,483774.302382001
91,108827.642300001,483774.272120001
92,108828.145340001,483774.241858001
93,108828.648380001,483774.211596001
94,108829.151420001,483774.181334001
95,108829.654460001,483774.151072001
96,108830.157500001,483774.120810001
97,108830.660540001,483774.090548001
98,108831.163580001,483774.060286001
99,108831.666620001,483774.030024001
100,108832.169660001,483773.999762001
101,108832.6727,483773.969500001
102,108833.17574,483773.939238001
103,108833.67878,483773.908976001
104,108834.18182,483773.878714001
105,108834.68486,483773.848452001
106,108835.1879,483773.818190001
107,108835.69094,483773.787928001
108,108836.19398,483773.757666001
109,108836.69702,483773.727404001
110,108837.20006,483773.697142001
111,108837.7031,483773.666880001
112,108838.20614,483773.636618001
113,108838.70918,483773.606356001
114,108839.21222,483773.576094001
115,108839.71526,483773.545832001
116,108840.2183,483773.515570001
117,108840.72134,483773.485308001
118,108841.22438,483773.455046001
119,108841.72742,483773.424784001
120,108842.23046,483773.394522001
121,108842.7335,483773.364260001
122,108843.23654,483773.333998001
123,108843.73958,483773.303736001
124,108844.24262,483773.273474001
125,108844.74566,483773.243212001
126,108845.2487,483773.212950001
127,108845.75174,483773.182688001
128,108846.25478,483773.152426001
129,108846.75782,483773.122164001
130,108847.26086,483773.091902001
131,108847.7639,483773.061640001
132,108848.26694,483773.031378001
133,108848.76998,483773.001116001
